tid,text,keyphrases
924863113073217536,Really having an asthma attack,asthma attack
926246749655646208,"@Garden_Goddesss I dread bronchitis and pneumonia. With asthma on top of those, I wish for a quick death. Any 15 yr https://t.co/ExFXSblTKL","asthma on top,bronchitis and pneumonia,quick death"
926461714836619266,@FascisFelis Not legal in PA. Smells like feces. I like to keep my asthma riddled lungs free of smoke. Not my thang.,asthma riddled lungs
924492565017251840,"RT @MaraWilson: @justinshanes Someone once asked me ""Got any smokes?"" And I said, ""No, but I have three different asthma medications!""",different asthma medications
925588355533950976,I got asthma so I don't do sports  https://t.co/UJ6vRhxwdn,
927002271464001536,@cwrightmd @psufka We start on on aggressive topical steroids and then call a Swami like Chris Wright To fix them.,"aggressive topical steroids,swami like chris wright to fix"
923735162424315906,so tonight mid asthma attack michael started laughing at my wheezing noise  which in turn made me laugh and wheeze even harder,mid asthma attack michael started laughing
925854279973392385,"Raw milk may prevent allergy and asthma, but is it safe? https://t.co/4SJ2HGFGKA #AlternativeMedicine ?",raw milk may prevent allergy and asthma
925806829090639872,Pump squeeze like asthma,pump squeeze like asthma
924212308720496640,"MSNBC 2:51am Results may vary.
Once your asthma IS well controlled,",asthma is well controlled
927466487396339712,My sinus gmsfu ,sinus gmsfu
924985863284690944,My asthma inhaler is bigger than @EmteeSA   ooops I meant dick #ThingsBiggerThanEmteesDick,
925689146844344320,RT @Brianmckinstry: Alison worth and Olivia Fulton getting young people with asthma involved in Research @NHSResearchScot https://t.co/ucBZ,alison worth and olivia fulton getting young people with asthma involved in research
926150990964887553,#entirely #health Obese children may have more asthma complications https://t.co/SJn0vaKG8J,health obese children may have more asthma complications
927147784385499142,@tedlieu @MalcolmNance @EPA MAGA: make asthma great again,
927156333278834688,Bad breath can be caused from nasal and sinus infections. The best thing to do is to properly brush and floss.,"bad breath,best thing,nasal and sinus infections,properly brush and floss"
927019705243787265,I hate that my baby has asthma ,baby has asthma
925218484308426752,RT @LLUChildrens: Always talk with your healthcare provider about what asthma attack warning signs to look for and when to seek emergency m,healthcare provider about what asthma attack warning signs
926178982063693824,"I ain't chasing nobody either , I got asthma ",
925758571232550914,My allergies are definitely gonna trigger my asthma this some bullshit ,allergies are definitely gonna trigger my asthma this some bullshit
924685978350116864,RT @AAFANational: Thanks for joining us at #acaai17! Lots of exciting research happening for asthma and allergies. https://t.co/qMdv1h9HFt,"lots of exciting research happening for asthma and allergies,thanks for joining"
923768465562963968,"Since 1980 asthma death rates overall have increased more than 50% among all genders, age groups and ethnic... https://t.co/Nlr20Q0Uja","age groups and ethnic,among all genders,asthma death rates overall"
924349346912571392,Reassessing asthma diagnosis in adults. https://t.co/4HNl0YK3OM #overdiagnosis,reassessing asthma diagnosis in adults
926011734267015168,Now im having an asthma attack,asthma attack
925818929179656193,Read this entire thread.  Ozone is deadly. It literally kills people through asthma and cardiac arrest.  https://t.co/EJJQig1rCJ,people through asthma and cardiac
925338189325307906,RT @NEWDevonCCG: Flu can make asthma worse &amp; increases the risk of a potentially life-threatening asthma attack. Get your #flujab ,potentially life-threatening asthma attack
925263247619514368,@DesiJed This fucking tweet has induced multiple asthma attacks because I can't stop laughing like a goddamn lunati https://t.co/QddeUDQSwV,"fucking tweet has induced multiple asthma attacks because i can't stop laughing,goddamn lunati"
926209320093499392,@AlexLanayee Yours asthma,yours asthma
925904065632047104,"@PaulGeigerSpeak I don't know, my asthma controls my breathing sometimes. LOL
#BookMarketingChat",asthma controls my breathing
926796018082918400,Product review for ASTHMANEFRIN for asthma relief 30 ct (Pack of2) https://t.co/ND6JuwgMPM https://t.co/1xaJeXB5Ek,product review for asthmanefrin for asthma relief
927619407668428800,Seizure Triggered by Sick Sinus Syndrome.: Sick sinus syndrome SSS is a dysfunction of sinoatrial node resulting in https://t.co/jQEq8Abos9,"dysfunction of sinoatrial node resulting,seizure triggered by sick sinus syndrome,sick sinus syndrome sss"
922844142199345153,RT @MammothWhale: You attacked a 66 year old woman with asthma because she cost the taxpayer 4.68. So you can kindly fuck off with y ,year old woman with asthma because she cost the taxpayer
927587117445931008,So I now have bronchitis on top of this sinus infection  Every hole in my face isn't working &amp; I forgot wut it's like to breathe.,"bronchitis on top of this sinus infection,face isn't working"
927296690922704896,I added a video to a @YouTube playlist https://t.co/h95xbogI4m hgh side effects face - side effects steroids,"hgh side effects face,side effects steroids"
927322778310606848,@acornfriend I took a five day break. It was forced because I have a sinus cold.,"five day break,sinus cold"
927428696042037248,"I'd write more on why I'm fucking trash, but the sleep deprivation, asthma and burning eyes are starting to get to me","asthma and burning eyes are starting,sleep deprivation"
924431774553341952,"do you got asthma bc you got ass, ma",asthma bc you got ass
925277725912317952,"My asthma isn't some kind of ""kaartehan"" you sick fuck. Have you ever even had that feeling of not being able to fucking breathe normally???","able to fucking,asthma isn't some kind,sick fuck"
926863717991665664,"RT @dregiraldo: Dr. Rosenbaum. For scleritis usually needs steroids sparing treatment with methotrexate, mycophenolate or azathioprine. #AC",scleritis usually needs steroids sparing treatment with methotrexate
926279250105249793,"Sleep paralysis , anxiety , depression , and asthma all kicking in at one time got me fucked up tonight  come back during the black out","asthma all kicking,sleep paralysis"
923785394415575040,The smell of my hand sanitizer just made my mom have an asthma attack.,"hand sanitizer,mom have an asthma attack"
926818914344022016,RT @bdfuller: Before we were married I tried to leave my wife at truck stop in Iowa for sneezing on me. #storiesIlltellmychildren,iowa for sneezing
926588133533155328,@YasminQureshiMP You seen this? Man died in 2015 because he couldn't afford prescription charges for his asthma meds https://t.co/DyYsZLWFPo,prescription charges for his asthma
924331428573310976,Contact with dogs could protect kids against eczema and asthma https://t.co/CdKn8KMhUk https://t.co/8WAffot0FY,contact with dogs could protect kids against eczema and asthma
924395437251055616,"@urbaninstitute addresses higher likelihood of asthma among those in low-income housing, renters and children. https://t.co/IpFqek2qZD","addresses higher likelihood of asthma among those in low-income housing,renters and children"
927367478388363265,RT @jeongskwan: Taemin literally slapped all the oxygen right out of my body with these contacts thanks for my asthma Taemin https://t.co/X,"body with these contacts thanks for my asthma taemin,taemin literally slapped all the oxygen"
923257511968493570,@fivefortysixx @SoCallMeJaime i laughed so hard at this I had an asthma attack ,asthma attack
926660459973021696,I got asthma https://t.co/9ez2XJkIcW,
927201828802097152,These should be being encouraged in the UK they are proven to reduce asthma and absolutely work https://t.co/EmPO3vAHs9,
924993908135915520,I talked my asthma up ,
926306872235364352,RT @ShannanFrey: @xayide @arthur_affect @FDRLST Or use insulin? Or medication for hypertension? Or asthma medication? The list is practical,"asthma medication,list is practical,medication for hypertension"
926148873730498560,i guess one good thing about living in a tropical climate is that there was no cold weather or too much pollen to flare up my asthma,"cold weather or too much pollen,good thing about living,tropical climate"
924407850629238785,i love sobbing till asthma kicks in and then sounding like im playing the kazoo bc of it,sobbing till asthma kicks
926893939466166273,'No parent should bury their child': Local teen dies after asthma attack https://t.co/afYaiJCXVQ via @keene_sentinel,"local teen dies after asthma attack,parent should bury their child'"
925871913024479233,@darientechnos Have you ever looked into online Canadian Pharmacies? I've been getting most of my asthma meds there https://t.co/7y50CHudlb,online canadian pharmacies
925333286036975618,Gene therapy has been used to 'switch off' asthma symptoms: https://t.co/06KjGRJJw6,"asthma symptoms,gene therapy"
926741514121703424,"Had a cold then a sinus infection, who knows what I have in my system now",cold then a sinus infection
923905139550781440,When is asthma considered severe? https://t.co/bTs9Aw7uCt https://t.co/lWI3dCPGW9,
924614712590942212,FYI: #asthma Controversies and opportunities in severe asthma.: Despite currently available treatments many asthma https://t.co/sINQKNpZPe, despite currently available treatments many asthma
925682603297972224,Moms-to-be can protect babies from asthma by eating fish: study - https://t.co/6zpyINveFC https://t.co/3Sfm74xlNN,moms-to-be can protect babies from asthma by eating fish
924746864104235008,This is the terrible asthma weather! I'm doing everything I can to keep my baby healthy.,terrible asthma weather
926846915957858305,omg my cat is sneezing LOL i wanna make it into an mp3 file,cat is sneezing
927378591326781440,Physics in college= AP physics on steroids,physics in college
924683212776804352,Uh oh here we go asthma,
927214239307194368,Im being attacked by asthma again and everyones asleep. im also having a panic attack which is great. life is great,"asthma again and everyones,panic attack"
927231577423151104,Will school choice on steroids get a boost under a Trump administratio https://t.co/uEMt17mjNy #edchat #educhat https://t.co/kGZ8ZWXIzI,school choice on steroids get a boost under a trump administratio
922946639953891331,Lillie's pussy is so bomb it gave me an asthma attack  @guillotine_gurl,"asthma attack,lillie's pussy"
923240764284420096,@Alyssa_Milano Had an asthma attack from the laughing fit I just had after seeing this and reading the comments. Th https://t.co/M9Lk4MAiqj,asthma attack from the laughing fit
926757182468771841,"@VIPwithFierce ... than ER, faster, and on site labs and xrays, most known for prescribing antibiotics and steroids https://t.co/xX2D3hCvTr","prescribing antibiotics and steroids,site labs and xrays"
927146788389294080,@son_kenzie They basically own the economy &amp; darkies know this but then again the PHD syndorome is on steroids,phd syndorome
925453970939830273,Ah yes. Its asthma attack season,asthma attack season
926992678209900544,RT @alayia__: Let em know you got asthma baby  https://t.co/EAhZKM63qr,asthma baby
927440900258779136,@simplenomad @hellNbak_ I sleep better at night telling myself it was asthma and not heavy breathing.,"asthma and not heavy breathing,better at night telling"
925860063964749825,your man a bird he was fighting your killer bro and his asthma pump fell out and he said BRO I CAN'T BREATHE bro said SO WHAT YOU SWUNG LOL,"bro said so what you swung,killer bro and his asthma pump,man a bird"
926129116654526464,Day 3: Anxiety issues cause me to get an asthma attack every time I try to put words on the page. I don't have a bronchodilator ,asthma attack every time
925655744703270912,AstraZeneca asthma drug tralokinumab disappoints again https://t.co/UvPFppm2Km,astrazeneca asthma drug tralokinumab
925905077134602241,RT @Saraangelique_: LMAO my ass asthma ass lungs  https://t.co/XM9LNcovuj,ass asthma ass lungs
927316363156353024,Nur binti Ahmad Jaafar shares Erika Tan's artwork about a weaver who died from pneumonia as a 'display' at the Brit https://t.co/1xstc5zx1O,binti ahmad jaafar shares erika tan's artwork about a weaver who died from pneumonia
927045970013163530,"@searching_catl Not sure if you can get it here w/o asthma dx. I have expectorant syrups, but need to suppress it n https://t.co/7thaASpKvG",expectorant syrups
923912940222267392,Dogs may protect against childhood eczema and asthma https://t.co/1nZ8O5nrpl,protect against childhood eczema and asthma
925629477874491392,here i am at work getting my daily dose of dog videos and wishing i didnt have asthma so i can get a corgi doggo https://t.co/MyGlLAK7LX,"corgi doggo,dog videos and wishing,work getting"
927387863037153280,"RT @NYorNothing: Do the #tcsnycmarathon, itll be fun they said; Im walking like a baby giraffe &amp; I may have pneumonia but who care ",baby giraffe
925282982625193985,Fish oil or fish consumption? New recommendations for pregnant women trying to prevent childhood asthma https://t.co/5E9uJohOha,"fish oil or fish consumption,new recommendations for pregnant women trying to prevent childhood asthma"
925518399957909504,"@robertagreer Despite improved air quality asthma has increased, but so has obesity. But the science community admi https://t.co/59jR11xHIz","despite improved air quality asthma,science community admi"
924638871123517440,not now asthma pls ,
926898172131147777,"Sometimes life is weird, If Will Grier doesnt do steroids Jim McElwain would have been a successful coach at Flori https://t.co/UfRfjXxrx1","grier doesnt do steroids jim mcelwain,successful coach at flori"
927261186713939968,Responding for a COPD attack: are their flaccid alveoli assaulting them?,"copd attack,flaccid alveoli assaulting"
924697164462395394,"dad is yelling at me for coughing ,, like i'm sorry asshole i can't help the fact that my asthma is acting up","dad is yelling,fact that my asthma is acting,sorry asshole"
926083992054411265,When you love running so you go run 8 miles but then your asthma kicks in &amp; you start dying but its okay cause run https://t.co/i3fmSkrU7q,"miles but then your asthma kicks,okay cause run"
924658998971850752,"I still rmb going to the E.R. with an asthma attack, the doctor on duty put the stethoscope to my chest and literally went ""Whoa""","asthma attack,doctor on duty put the stethoscope"
927519224758702080,When I was growing up it was always pneumonia weather,pneumonia weather
927595516082425857,@RapSheet Maybe he can go take some more steroids and miss his entire pro career. What a waste,more steroids and miss his entire pro career
927590525334687746,Having a sinus infection with a nose ring is God's righteous punishment for body modification,sinus infection with a nose ring is god's righteous punishment for body modification
927369518967431169,All my niggas got asthma,niggas got asthma
927253083805159425,@LalaxMaraj Ppl with asthma smoke ALL THE TIME ,asthma smoke all the time
924305084372213760,My poor baby is having such a hard time with his allergy induced asthma tonight.  https://t.co/JWUntQlyST,"poor baby is having,such a hard time with his allergy induced asthma tonight"
925442161503604736,Melissa copd asthma congestive heart lung failure. Sleep apena cancer bloodwork unable 2 denial smoke them 2 fucks i dont give fame.,"cancer bloodwork unable 2 denial,melissa copd asthma congestive heart lung failure"
926238901769003008,@Steph_Peacock  Have you seen this? Man died in 2015 because he couldn't afford prescription charges for asthma meds https://t.co/DyYsZLWFPo,prescription charges for asthma meds
925725739789570048,Asthma Death Rate Falling in U.S. Change over time driven by fewer asthma deaths among seniors https://t.co/j3EkiLipAw,"asthma death rate falling,change over time driven by fewer asthma deaths among seniors"
927404831936954368,pink eye &amp; a sinus infection oh so lovely :),"pink eye,sinus infection"
924926714152566784,"My supervisor text me last night trying to get snappy cause I called out , cause my asthma was acting up . I GOT HIM ALL TOGETHER  tf","asthma was acting,supervisor text me last night trying"
927543839325171712,@Jessesapp5 @peterdaou Most pneumonia isn't contagious.,most pneumonia
924402917871939584,Most people who have asthma can manage their symptoms by following their asthma action plans. Learn more. https://t.co/pPdH3qFy7m,most people who have asthma can manage their symptoms by following their asthma action plans
927021865880752128,I drunk my body weight in NyQuil trying to get rid of this sinus pressure. Im about to be sleep until New Years ,"body weight in nyquil trying,new years,sinus pressure"
925626859882196992,"Plus I rushed out &amp; almost gave myself an asthma attack in the freezing cold - for nothing, as it turns out.",asthma attack
927082353888919552,#Delhi best month of year Nov &amp; Feb! City on steroids given the number of cultural dos - wish the air was cleaner too!,"air was cleaner,city on steroids given the number of cultural dos,delhi best month of year nov"
926999800288968705,Which costs more: Costa's steroids or Arianny's botox? #UFC217,costa's steroids or arianny's botox
925448885887291395,@howardhour I helped two women chase after a bird but it got away and I had an asthma attack #RHdeeds ,"asthma attack,women chase after a bird"
927145259431231488,@tybrown3 @davidsirota The type of pneumonia she had was not contagious; which means it was caused by Parkinson's. https://t.co/LpDd7qrDP6,type of pneumonia
927308602670505985,@TrumpsTranny @blaircottrell89 Taking steroids ?,
927054924747218944,I need an inhaler cant find mine!! PleSe help me Im About to have an asthma attack,asthma attack
924777687322972167,My fear of getting sick is out of control but I'm already sick.with this weird asthma type cough already injected and I'm mad as fuck,"fear of getting,weird asthma type"
923979356585766912,I know i got asthma but this nigga JFK just took my order at Popeyes,"asthma but this nigga jfk,order at popeyes"
924244955245301760,Saturday's Air Quality forecast for Dayton is GOOD. Children with asthma have no Air Quality Restrictions.,"children with asthma have no air quality restrictions,saturday's air quality forecast for dayton"
927105472263372800,I guess maybe it would have just been better 2 have wet hair &amp; the house be freezing &amp; catch pneumonia &amp; die,"better 2 have wet hair,house be freezing"
927377469283299329,"When asthma sufferers are exposed to particular triggers, airways respond by swelling and getting inflamed https://t.co/MwCiuOrwZT","asthma sufferers,particular triggers,respond by swelling"
926112177358098432,@SaesAzArmoth Oh my! Im sorry to hear that. I also have Asthma and I had a pneumonia lately. I couldnt breathe fo https://t.co/YucQJS6fRo,
925406618367549442,Fish oil or fish consumption? New recommendations for pregnant women trying to prevent childhood asthma https://t.co/V3be5tQExC #health #m,"fish oil or fish consumption,new recommendations for pregnant women trying to prevent childhood asthma"
925725305532223489,RT @Him_only001: I sent my boo some selfies and she almost had an asthma attack. Thats the kind of reaction I expect from now on. https://,"asthma attack,boo some selfies,kind of reaction"
924838185401643009,Is anyone else having a really bad asthma day?,"anyone else having,bad asthma day"
927524195558342658,Childhood eczema and asthma | Dogs may protect them - https://t.co/7gOrWvqchs https://t.co/IDjlX4rANv,childhood eczema and asthma
922930447524552709,Cant stand hearing no Tuba that sound like the Tubeician got asthma,tuba that sound like the tubeician got asthma
924946924289118209,RT @JustTooth: Pediatric dental disease is 5 times more common than asthma and 7 times more common than hay fever. #OralHealth,"pediatric dental disease,times more common than asthma,times more common than hay fever"
927127922208641024,"@Mellecon I LURVE you too!
Thank you for ""forgiving"" me. 
That's a friend!
Sorry to getcher dander up.
More Twitter should be like this, no?",more twitter
926966700179902464,#NEWBORDER Press release: UK aid stops untold horror of child pneumonia deaths in Syria this winter https://t.co/BJ9KuXOJR1,"newborder press release,untold horror of child pneumonia deaths in syria this winter"
927575978330804225,the floor is a day without a sinus headache https://t.co/VNIZFklMtd,day without a sinus headache
925318737686757376,"@DeltaGoodrem And maybe all the boys should have asthma pumps, because i still think that helps them with the steroids.",boys should have asthma pumps
923963717527719936,RT @madiralston_: a kid in my class tried to eat an aloe plant because i told him it cures asthma ,aloe plant
927508676851781632,Wish this headache and sinus pain would kindly go away ,headache and sinus pain
925184889024057344,Went to urgent care for asthma exacerbation and got a steroid shot in my booty #monday,"steroid shot,went to urgent care for asthma exacerbation"
922851514770636802,@aditya8993 @BBMPCOMM1 @PMOIndia @siddaramaiah yes now you can cure your asthma naturally and quickly  know more https://t.co/eqgySEcYvA,asthma naturally
926886886072762368,RT @SCActionNetwork: DYK a malnourished child is more likely to die from pneumonia than one who is nourished? https://t.co/0NBUK98uoV #Figh,dyk a malnourished child
924430827596976129,High key just had an asthma attack in the shower because of the steam from the hot water. How lame is my life?? ,"asthma attack,high key,steam from the hot water"
923771043910750208,"I have asthma.

As part of the test I got a ventilator dose of albuterol, which is the asthma wonder drug.",ventilator dose of albuterol
923778936890363904,I hate I swear I hate having asthma ,
925200576710889473,RT: BetterHealthGov Learn the 4 steps of asthma first aid at the Better Health Channel https://t.co/PdePInWfVr  https://t.co/OUTkiPLitn,"better health channel,steps of asthma"
925943273964867584,"bae: heavy breathing turns me on
me: i have asthma",heavy breathing
923719943421431808,"Some people use steroids in asthma.

From the morning in the eyes these word,  It make me so sad.","eyes these word,some people use steroids in asthma"
926626414765445120,#autoimmune news: Response to case report Airway autoimmune responses in severe eosinophilic asthma following l... https://t.co/IY8ZA6oS8e,"autoimmune news,response to case report airway autoimmune responses in severe eosinophilic asthma following"
923879123541417984,@SueEllCee My asthma is really bad with the cold &amp; damp. Could be that. Starting to warm up with added cat layer,
927273234927706112,I liked a @YouTube video https://t.co/dv4P13rOkt How to titrate/wean steroids,wean steroids
924510764429467653,Hoping I have an asthma attack tonight ,asthma attack tonight
924501884190130177,Love having an asthma attack and not having my inhaler ,asthma attack and not having
923764488066748417,I advise everyone to listen to this. This has changed my perspective of life. I like how he used asthma attack as... https://t.co/ZkWQtSwXiO,"advise everyone,asthma attack,perspective of life"
922936763533942784,louis is not at sprinkles i just rsn 15 blocks with asthma to find this out,rsn 15 blocks with asthma to find this out
923926389052661760,I just need my asthma to not act an ass this year ,ass this year
927534274261032961,i been having a asthma attack for like a week why tf i aint dead yet ,asthma attack for like a week
925774271296794625,sigh i know im boring but look my lungs are already fucked up bc of asthma im not gonna make them get worse,
926806965023592448,"@JonnyBones And steroids, lots and lots of steroids", lots of steroids
927206442062532608,"Say no to steroids and yes to meat!
#meatheals https://t.co/WIIwMGmTPg",steroids and yes to meat
926246722807975936,@annietrev Have you seen this? Man died in 2015 because he couldn't afford prescription charges for asthma meds https://t.co/DyYsZLWFPo,prescription charges for asthma meds
924600054341668865,ETHealthworld | New Research finds children without allergies can still suffer from asthma like symptoms https://t.co/koY1RkMZMw,new research finds children without allergies can still suffer from asthma like symptoms
927355962612178946,Compound in cannabis could ease asthma https://t.co/6hFM8GQlyT https://t.co/yIxYGnQPDc,compound in cannabis could ease asthma
927403107935387648,My asthma kicking my ass &amp; I dont wanna be at no damn er all night ,"asthma kicking my ass,damn er all night"
926491716676304896,She moving too much for me my pregnant ass would have cramped up had an asthma attack and need an entire pizza to m https://t.co/VSEOiP8dd2,"asthma attack,entire pizza,pregnant ass"
926989005987762176,"I'm feeling crunchy today. Spent the day running trails, just used a homeopathic asthma remedy, am drinking organic &amp; eating local granola.","crunchy today,day running trails,homeopathic asthma remedy,local granola"
927383384006967296,@thatguyerikk Negative I have pneumonia ,negative i have pneumonia
927052736213827584,"@HotlineJosh She had pneumonia and tried to work through it. Wondering if you've managed to work through pneumonia, https://t.co/WlHRpEu8Nn",managed to work through pneumonia
924946774158184448,"Why hot, humid air triggers symptoms in patients with mild asthma -- sciencedaily - https://t.co/yAhk8GDDgf",humid air triggers symptoms in patients with mild asthma
925482143777804288,first i couldnt trick or treat cause i had to work and now its cause i had an asthma attack earlier like wtf. ,"asthma attack,first i couldnt trick"
924679025225846784,#NationalCatDay our cat Shorty is no longer on an inhaler or having Asthma attacks. Thanks to #Homeopathy :) https://t.co/AZuryl2j9c,"inhaler or having asthma attacks,nationalcatday our cat shorty"
927012858512121857,#amwriting at Starbucks but I have wet hair so I've gotten frozen out once again. Maybe if I get pneumonia I can earn a free cake pop.,free cake pop
925416665441030144,Medical News Today: Obese children with asthma spend longer in hospital https://t.co/gBqzgEp65w,"medical news today,obese children with asthma spend longer in hospital"
926192941147750401,have you ever had a seizure since you have asthma ? i hate nando,seizure since you have asthma
927204615313006593,Oh god! Salman you can make fun of mental torture but god forbid someone makes fun of Hina bitch's asthma  #BB11 #WeekendKaVaar,"fun of mental torture but god forbid someone makes fun of hina bitch's,mental torture but god forbid someone makes fun of hina bitch's asthma"
925675351489024001,Moms-to-be can protect babies from asthma by eating fish: study |Health https://t.co/Q2nXYFDfx3 https://t.co/MOE22E6jZ5,moms-to-be can protect babies from asthma by eating fish
926801522704437248,Do I get a sinus infection twice in 2 months ffs,"months ffs,sinus infection twice"
927675403598270465,@teddyfresh That dog is the embodiment of asthma,embodiment of asthma
925016451555188737,"Dogs may lower risk of childhood eczema, reduce asthma symptoms https://t.co/hYzq74rEN4 https://t.co/vHqZ1qbwsI","asthma symptoms,lower risk of childhood eczema"
924262811710173184,hopefully i can get new asthma meds too idk if they can prescribe them at the clinic but i need them desperately,new asthma
927366211641495557,"first of all, I have asthma https://t.co/bdoWNOX3qt",
927569057913692160,I have the worst sinus headache and I just feel so foggy. Not good for this exam ,"good for this exam,worst sinus headache"
925872718456721408,I think my cat has asthma https://t.co/A0dJvzX80v,cat has asthma
922737490112294912,Jerusalem cannabis guru to study effect of weed on asthma https://t.co/Pf4vZY3hjr https://t.co/4bIxfWwCR7,jerusalem cannabis guru to study effect
925982305671192576,Melatonin gave me an asthma attack ,asthma attack
927501677082628096,I cannot sleep. This is  I've been up for an hour. All I keep doing is fucking sneezing and blowing my nose on top https://t.co/nS5ILgsg8m,
923785134603726848,asthma killin me,
927451858305724416,RT @IamPoliSci: I remember when I had pneumonia and left the hospital the first thing I did was go and get my hair done  yep I'm vain,hospital the first thing
926419399342546944,From achoo to asthma https://t.co/M758cPkbMr,achoo to asthma
926897349351362560,RT @DFID_UK: Child deaths from pneumonia are the 'untold horror' of the Syria crisis. @patel4witham announces new #UKaid package ,"'untold horror',child deaths from pneumonia,syria crisis,ukaid package"
927309774588391424,I don't think that I would show an reaction to aspirin now if I would take it but considering that I developed a form of asthma when I ...,form of asthma
926022486415872000,"@LeanneM22384218 Think of it as it it were physical like asthma or arthritis... sometimes we have flare ups, someti https://t.co/8k31YZZcPt","flare ups,physical like asthma or arthritis"
927003879698550784,@DerekCressman To all you @seanhannity folks who have kids with asthma allergies and cpd this is the asshole you voted for,folks who have kids with asthma allergies
926805378146488320,And now my lampshade has fallen off getting dust everywhere! Night of sneezing and breathing trouble here I come!,"breathing trouble,lampshade has fallen off getting,night of sneezing"
926915987055640576,Nasal douche for my sinus infection  https://t.co/05eiKZgWhI,nasal douche for my sinus infection
926846025276542979,@Super70sSports Father of steroids,father of steroids
927506634473181185,RT @MariolaPR: Study: Azithromycin overprescribed for kids' pneumonia https://t.co/2hdQYQws6s,azithromycin overprescribed for kids' pneumonia
925129633233850368,Suddenly getting very wheezy and struggles to breathe is always fun. Stupid asthma,stupid asthma
925504275345686528,How deluded do you have to be to suffer from asthma and STILL do apologetics for fossil-fuel polluters? https://t.co/sGXM2gz1y2,apologetics for fossil-fuel polluters
924836397428740096,"God forbid someone have asthma or you know, just not want second hand smoke.","god forbid someone have asthma,second hand"
927208731204612097,"#Heartrending 
#Women use cattle steroids to fatten 
Bangladesh's Biggest Brothel @AJEnglish  https://t.co/vpd4MOU0Tj",women use cattle steroids to fatten bangladesh's biggest brothel
925739273009221635,Anyone else with asthma struggling today? ,anyone else with asthma struggling today
927631716335980544,I get the privilege of shadowing the doctor who performed my sinus surgeries - the man who helped me decide what my dream career is! ,"doctor who performed my sinus surgeries,dream career,privilege of shadowing"
926728752901644288,steroids make your penis smaller https://t.co/6FWxEAzIQf,steroids make your penis
927001292857323522,RT @tcuff228: @ALIAQUINTA 150% on steroids lol,
926833370457190401,Me with dark hair is like blonde me on steroids I see,
925146109923733504,(usually a combo of food/books/upbeat music helps me calm down enough to breathe properly but I'm halfway to an asthma attack rn),"asthma attack,combo of food,upbeat music"
925165722187239424,I was really out chasing someone when lawd know I got asthma,lawd know i got asthma
922948465516199936,HCPs: Do you know the new recommendations for seasonal rhinitis &amp; seasonal asthma to minimise thunderstorm asthma? https://t.co/VyvpagVWgO,"new recommendations for seasonal rhinitis,seasonal asthma to minimise thunderstorm asthma"
925119182706012160,mmith hour is triggering my asthma,mmith hour is triggering my asthma
927625280587362305,You got asthma ? Cause you got ass ma   boiii,
927651110185189376,.@elohimmusic a real fan of yours loves what you do and who you are regardless. Fight pneumonia away and keep giving fans more sensations,"fight pneumonia away and keep giving fans more sensations,real fan"
924278079467298818,@Hardywolf359 I'm so screwed. I couldn't even get through laser tag without having an asthma attack! Can I still go for just the food?,laser tag without having an asthma attack
927147274626617345,Still need your flu shot?? Come to PCPH  Mondays(except Holidays) 9-11 am and 3-5 pm.No appointments needed for flu or pneumonia shots.,"appointments needed for flu or pneumonia shots,flu shot"
927124396745125888,"RT @tikunolamusa: Prof. Raphael Mechoulam, pioneer in cannabis research, seeks to find treatment of asthma with cannabis. #tikunolam https:","pioneer in cannabis research,raphael mechoulam,tikunolam https,treatment of asthma"
924271997114126336,My mom said it was comforting to hear me cough at night bc my asthma is so bad it meant I was still alive ,
927257595676708865,I cant believe this shxt. The eagles gotta be on steroids ,
927649094620680192,My life is repetitive and I'm barely breathing. Literally. Haven't had an asthma attack since 2nd year HIGH SCHOOL. Until now. ,asthma attack since 2nd year high school
926463421071151104,RT @respfutures: Do you have #asthma? Join a new volunteering database to take part in asthma research studies in the UK with @AUKCAR https,new volunteering database to take part in asthma research studies
927474204596895744,My sinus just randomly decided to act up this morning and wow it was terrible,
924344155291181057,"RT @JMDallergy: Smith: Chronic cough: Nasal disease, GERD, and asthma likely trigger cough in the context of an already sensitized system.","chronic cough,likely trigger cough,nasal disease"
926075991981723648,"Are puppies the latest allergy treatment? Recent studies show protective effects against eczema, asthma https://t.co/7bUlpNvFsj","latest allergy treatment,recent studies show protective effects against eczema"
927076079113666560,@Tropical14ever @tedlieu @CharlieStGermai @EPA Count me in! Ive had asthma since I was six months old.,
926634979240693760,@thehill Childhood asthma is at historic levels attributed to low air quality.,"childhood asthma,historic levels attributed to low air quality"
926289497423310849,+ with asthma in this damn apt! An that have a sensative nose to certain smells! If I end up in the hospital its her fault for this mess ,"asthma in this damn apt,hospital its her fault for this mess,sensative nose"
923875995488157696,I feel as of i just hit my asthma pump ... get it ... breathe of fresh air... oh nevermind https://t.co/I3BPFbommN,"asthma pump,fresh air"
922931234988179456,"RT @AsthmaAUS: At risk of #thunderstormasthma are ppl with #asthma, a past history of or undiagnosed asthma &amp; seasonal #hayfever w ","past history,undiagnosed asthma"
926115330476380160,"QU was, ""Were you bullied in the workplace?"" Yes, barsteward boss told me my bra was too tight when I was starting an asthma attack.",asthma attack
926871409791504385,"RT @Scorr_pion: If you suffer from asthma, exposure to high levels of ozone from smog can trigger asthma attacks.
#PrecautionsAgainstSmog","exposure to high levels,trigger asthma attacks"
924847577584902144,@_SamuelJay Im gonna have an asthma attack,asthma attack
